# checked: 2026-09-11
# references-at-last-sweep: 141
# A SNAPSHOT, not a live reading. Nothing in this repo can re-count it: every check here
# reads transcripts or TSVs, and these numbers came from sweeping the live Figma file. If
# this date is old, the file has moved on and the only way to know by how much is to sweep
# again with docs/figma-rebind-deprecated.js.
#
# Every node in aRWjBnTvdLiG50xtwodGwH still carrying the paint style DEPRECATED COLOURS/White
# (S:026ae8f5dcb56fe34998d453f7cc1492255e5254,) as at 2026-09-11, AFTER the 270 waffle vectors
# were rebound. Read by nobody: this is a worklist for a person, not an input to a check.
#
# 203 nodes. Counted by two warmed sweeps that agree. THE FIRST SWEEP OF A COLD FILE RETURNED 103
# — a cold findAll under-reports, so every number here is from a second pass. See CLAUDE.md.
#
# bucket   fix      a component this repo ships a class for. Fixing it changes shipped output.
#          follows  inherited by instances of something in `fix`. No separate work; recounted after.
#          leave    documentation, specimens and internal templates. Not published, ships nothing.
#          judge    a specimen OF the colour system itself. Leaving it means the style guide keeps
#                   demonstrating the system with a retired style. A designer's call, not a bug.
#
# `captured` is whether the component has rows in component-variants.tsv — i.e. whether this
# repo would even notice. Most of this file is invisible to tokens:check, which is the point.
#
bucket	count	where	page	section	role	captured	layers
leave	2	[S] Form field	AI	idea 2 pop up	fill	no	[S] Form field
leave	2	loose vectors	AI	Buttons	fill	no	Vector
leave	1	Clickable card	📚 WIKI	To do list	fill	no	Clickable card
leave	1	loose annotation	📄 DOCUMENT MANAGEMENT	Design system components	fill	no	Number
leave	1	loose annotation	📄 DOCUMENT MANAGEMENT	Labelling up designs	fill	no	Number
#
# KNOWN SOFT EDGE, stated rather than smoothed over. The split between a node that SETS the style
# and one that INHERITS it is computed from instance override lists, and it does not fully close:
# 80 nodes classify as inherited, but two components named as their origin — `Warning` (7963:79675,
# Icons page) and `App menu` (6235:65668) — carry the style on no descendant of their own, and two
# more (`Tags` 18415:5427, `[S] Button X` 236:2205) do not resolve to a page at all. So `follows`
# is the honest reading of most of that bucket and a guess for some of it. It affects the order of
# work, never the total: 203 is measured directly and twice.
#
# ── WORKED 2026-09-11 ──────────────────────────────────────────────────────────
# 22 nodes rebound. 203 -> 141, measured by two sweeps that agree (and a cold sweep in between
# returned 92, which is the same under-report this file warns about — it is not the answer).
# 22 edits cleared 62 nodes, because 40 of them were instances that inherit. Tables, Controls
# and Analytics and charts are now completely clear; System messages is down to 1.
#
# done	13	chart + Status + Notification card glyphs	-> Icons/Icon - Always white
# done	4	Image picker outline strokes	-> Icons/Icon - Always white
# done	2	Manage columns Side panel footer	-> Background/Primary
# done	2	Menu chip surface (Frame 80044)	-> Background/Primary
# done	1	Tags label (TEXT, on fixed #707070)	-> Text/Always White
#
# Every one preserves today\'s appearance exactly. That was the bar: a rebind that changes how
# light mode looks is a design decision, not a rebind.
#
# ── THE REST OF THE FIX BUCKET IS NOT TOKEN WORK ──────────────────────────────
# Three nodes are WHITE ARTWORK ON A WHITE SURFACE — invisible as drawn. A token cannot be
# chosen for them without knowing the intent, and "preserving appearance" would preserve a bug.
#
# ask	2	Header @32488:24634 — a white `Folder organiser` app icon in the Configr top bar. The
#		Configr header variant\'s own fill is a plain unbound #FFFFFF, so the icon is invisible.
#		The likely answer is `Navigation/Configr nav` (#656565 light, #FFFFFF dark): white is
#		right in dark and wrong in light, which is exactly what a static white cannot express.
#		Applying it CHANGES light mode from invisible to grey, so it needs a designer.
# ask	1	[S] Config child menu @930:30367 — a white 14x7 Vector on a white row. Same shape.
# bug	1	`Status type=New social group` (3435:66953): fills[0].visible === false. The badge
#		background is switched OFF, so its white glyph renders on nothing — the variant shows a
#		transparent checkerboard where the other five show a coloured disc. Not a token choice.
#
# wcag	4	White on `Icons/Icon - Info` #33B5E5 is 2.36:1 and on `Icons/Icon - Warning` #FC8700
#		is 2.44:1; WCAG wants 3:1 for non-text. PRE-EXISTING and unchanged by the rebind — the
#		deprecated style was the same white — but now measured, so recorded. The badge colour is
#		the fix, not the glyph.
